Model Group,ProjectID,ProjectNumberVersion,ProjectName,,
G601,60000,6,Lower Breton Diversion,,
G607,350000,35,Hopedale Marsh Creation,,
G620,370000,37,New Orleans East Landbridge Restoration,,
G627,390000,39,Lake Borgne Marsh Creation-Component A,,
G628,400000,40,Central Wetlands Marsh Creation-Component A,,
G635,450000,45,Golden Triangle Marsh Creation,,
G639,540000,54,Bayou LaLoutre Ridge Restoration,,
G607,1080000,108,Atchafalaya River Diversion,,
G631,1130000,113,Central Terrebonne Hydrologic Restoration,,
G602,1230000,123,Belle Pass-Golden Meadow Marsh Creation,,
G612,1250000,125,North Terrebonne Bay Marsh Creation-Component B,,
G617,1270000,127,Bayou DeCade Ridge Restoration,,
G618,1280000,128,Bayou DuLarge Ridge Restoration,,
G639,1290000,129,Small Bayou LaPointe Ridge Restoration,,
G640,1300000,130,Mauvais Bois Ridge Restoration,,
G638,1320000,132,Bayou Pointe au Chene Ridge Restoration,,
G608,1390000,139,Increase Atchafalaya Flow to Eastern Terrebonne,,
G625,1570000,157,East Rainey Marsh Creation,,
G606,2070000,207,South Grand Chenier Marsh Creation,,
G635,2100000,210,Mud Lake Marsh Creation,,
G604,2130000,213,West Rainey Marsh Creation,,
G636,2160000,216,Southeast Calcasieu Lake Marsh Creation,,
G641,2180000,218,Cameron Meadows Marsh Creation,,
G624,2210000,221,East Pecan Island Marsh Creation,,
G642,2240000,224,East Calcasieu Lake Marsh Creation,,
G644,2280000,228,Calcasieu Ship Channel Marsh Creation,,
G645,2290000,229,Kelso Bayou Marsh Creation,,
G628,2310000,231,Cheniere au Tigre Ridge Restoration,,
G631,2320000,232,Pecan Island Ridge Restoration,,
G612,2420000,242,Manchac Landbridge Diversion,,
G613,2430000,243,Ama Sediment Diversion,,
G602,2440000,244,Union Freshwater Diversion,,
G646,2450000,245,LaBranche Hydrologic Restoration,,
G629,2460000,246,Sunrise Point Marsh Creation,,
G630,2470000,247,Uhlan Bay Marsh Creation,,
G631,2480000,248,Pointe a la Hache and Carlisle Marsh Creation,,
G624,2490000,249,Fritchie North Marsh Creation,,
G632,2500000,250,Oak River to Delacroix Marsh Creation,,
G633,2510000,251,Spanish Lake Marsh Creation,,
G608,2520000,252,St. Tammany Marsh Creation,,
G634,2530000,253,Tiger Ridge/Maple Knoll Marsh Creation,,
G616,2540000,254,Guste Island Marsh Creation,,
G640,2560000,256,Bayou Terre aux Boeufs Ridge Restoration,,
G645,2570000,257,Bayou Aux Chenes Ridge Restoration,,
G641,2580000,258,Carlisle Ridge Restoration,,
G615,2670000,267,North Barataria Bay Marsh Creation,,
G637,2680000,268,Red Pass Ridge Restoration,,
G627,2690000,269,Adams Bay Ridge Restoration,,
G628,2700000,270,Bayou Eau Noire Ridge Restoration,,
G629,2710000,271,Grand Bayou Ridge Restoration,,
G616,2840000,284,Grand Bayou Hydrologic Restoration,,
G619,2850000,285,South Terrebonne Marsh Creation,,
G601,2860000,286,North Lake Mechant Marsh Creation,,
G633,2880000,288,Vermilion Bay Marsh Creation,,
G605,2930000,293,Freshwater Bayou North Marsh Creation,,
G611,2940000,294,Freshwater Bayou South Marsh Creation,,
G613,2950000,295,White Lake Marsh Creation,,
G637,2960000,296,Little Chenier Marsh Creation,,
G638,2970000,297,Calcasieu Lake West Bank Marsh Creation,,
G639,2980000,298,West Brown Lake Marsh Creation,,
G640,3000000,300,West Sabine Refuge Marsh Creation,,
G611,3040000,304,LaBranche Diversion,,
G647,3050000,305,West Maurepas Sediment Diversion,,
G619,3060000,306,Biloxi Marsh Hydrologic Restoration,,
G615,3080000,308,Lake Pontchartrain Marsh Protection Shoreline Protection,,
G621,3090000,309,Western Biloxi Marsh Complex,,
G622,3100000,310,Three Mile Pass Marsh Creation and Hydrologic Restoration,,
G625,3110000,311,Black and Eloi Bay Restoration Project,,
G617,3120000,312,Manchac Wetland Restoration and Maurepas Landbridge,,
G636,3130000,313,West Delacroix Marsh Creation,,
G637,3140000,314,Belle Pass Island Marsh Creation,,
G622,3150000,315,North and East Lake Lery Marsh Creation Project,,
G638,3160000,316,Chandeleur Sound Island Restoration Projects,,
G642,3170000,317,Five East Bank Ridge Restoration,,
G610,3180000,318,Tchefuncte River Ridge Restoration,,
G604,3220000,322,Freshwater Delivery to Western Barataria,,
G605,3230000,323,Edgard Diversion,,
G624,3240000,324,Upper Barataria Hydrologic Restoration,,
G648,3270000,327,Lower Plaquemines River Sediment Plan,,
G617,3280000,328,Bayou Barataria Ridge and Marsh Creation,,
G645,3290000,329,Caminada Bay Marsh Creation / Fifi Island Ridge and Marsh Creation,,
G626,3300000,330,East Bayou Lafourche/Caminada Headland Marsh Creation,,
G653,3310000,331,Southeast Golden Meadow Marsh Creation,,
G625,3320000,332,Caminada Headlands Ridge Restoration,,
G630,3330000,333,Three Ridge Restoration Projects,,
G616,3340000,334,Bayou L’Ours Ridge Restoration,,
G636,3360000,336,Greater Terrebonne Bay Rim Restoration with Marsh Creation,,
G603,3370000,337,Fourleague Bay - Blue Hammock Bayou,,
G628,3380000,338,Eastern Terrebonne Fringing Marsh,,
G623,3390000,339,West Terrebonne Marsh Creation Project,,
G653,3400000,340,Lower Bayou Petit Caillou Ridge Restoration,,
G632,3420000,342,Western Terrebonne Hydrologic Restoration,,
G641,3430000,343,Southwest Pass Tidal Prism Control and Acadiana Bay Hydrologic Restoration,,
G615,3450000,345,Avoca Island Marsh Creation,,
G634,3460000,346,Marsh Island Barrier Marsh Creation,,
G630,3470000,347,Mermentau Basin Hydrologic Restoration,,
G629,3480000,348,Calcasieu/Sabine Basin Hydrologic Restoration,,
G626,3490000,349,Cameron-Creole to the Gulf Hydrologic Restoration,,
G627,3500000,350,Cameron-Creole Hydrologic Restoration Improvements,,
G627,3510000,351,White Lake Wetlands Conservation Area Restoration Plan,,
G643,3520000,352,Wildhorse Marsh Creation,,
G646,3530000,353,Chenier Ridges Restoration,,
G646,3540000,354,Upper Barataria Landbridge,,
G614,130100,013b,Upper Breton Diversion (75;000 cfs),,
G603,140000,014a,Central Wetlands Diversion,,
G626,380100,038b,Breton Marsh Creation - Component A,,
G609,890100,089b,Lower Barataria Marsh Creation - Component A,,
G610,900100,090b,Large-Scale Barataria Marsh Creation - Component E,,
G649,3070000,307a,South Breton Basin Landbridge Marsh Creation,,
G606,3070100,307b,South Breton Basin Landbridge Marsh Creation - West,,
G650,3070200,307c,South Breton Basin Landbridge Marsh Creation - Central,,
G623,3070300,307d,South Breton Land Bridge Marsh Creation - East,,
G618,3250000,325a,Lower Barataria Basin Landbridge,,
G642,3250100,325b,Lower Barataria Basin Landbridge - West,,
G643,3250200,325c,Lower Barataria Basin Landbridge - East,,
G644,3260000,326a,Mid-Barataria Basin Landbridge,,
G651,3260100,326b,Mid Barataria Basin Landbridge - West,,
G652,3260200,326c,Mid Barataria Basin Landbridge - East,,
G620,3350000,335a,Eastern Terrebonne Basin Landbridge,,
G633,3350100,335b,Eastern Terrebonne Basin Landbridge - West,,
G634,3350200,335c,Eastern Terrebonne Basin Landbridge - Central,,
G635,3350300,335d,Eastern Terrebonne Basin Landbridge - East,,
G609,3410000,341a,Charenton Diversion,,
G614,3440100,344b,Central Coast Marsh Creation,,
